Tax	D0-H	D0-P	D14-H	D14-P	D28-H	D28-P	Taxonomy
Christensenella	0.000106175898071	3.53919660237e-05	0.000439871577723286	0.0007078393204751	0.00100614303410163	0.0008706423641846	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella
Lachnobacterium	0.000920191116617	0.000920191116617	5.05599514624286e-06	3.53919660237e-06	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium
Veillonella	0.000353919660237	0.000672447354451	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella
Anaerotruncus	0	0	0.000111231893217343	0.00018403822332331	0.000480319538893343	0.00060166342240342	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus
Holdemania	7.07839320474e-05	7.07839320474e-05	0.000343807669944714	0.0005344186869584	0.0003134716990671	0.0004565563617061	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania
Adlercreutzia	3.53919660237e-05	0	2.52799757312143e-05	7.786232525222e-05	0.000358975655384057	0.0004211643956822	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia
Clostridium3	0	0	0.000176959830118529	1.06175898071e-05	0.000379199635968143	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium3
Lactobacillus	0.000212351796142	0.000353919660237	2.02239805849571e-05	0.00014510706069722	2.02239805849714e-05	8.847991505922e-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
Trabulsiella	3.53919660237e-05	0.00028313572819	0	2.831357281898e-05	0	4.600955583087e-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella
Acidaminococcus	0.000141567864095	0.000176959830119	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus
Catenibacterium	0.000176959830119	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium
Oxalobacter	0.000176959830119	0.000106175898071	6.06719417549714e-05	2.831357281896e-05	4.55039563162e-05	3.893116262612e-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter
Paludibacter	0	0	0.000116287888363643	7.07839320474e-06	0.0001719038349722	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter
Synergistes	0	0.000141567864095	5.05599514624286e-06	7.07839320474e-06	5.05599514624286e-06	2.123517961421e-05	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes
Anaerofustis	0	0	6.06719417548857e-05	3.185276942132e-05	5.56159466086857e-05	0.00010971509467352	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis
Allobaculum	0.000106175898071	0	5.56159466086286e-05	0	0	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum
Slackia	0	0	5.05599514624286e-06	2.831357281898e-05	5.05599514624286e-06	7.786232525211e-05	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia
Methanobrevibacter	0	7.07839320474e-05	0	0	5.05599514624286e-06	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
Actinomyces	0	7.07839320474e-05	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces
Mitsuokella	0	7.07839320474e-05	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Mitsuokella
Klebsiella	7.07839320474e-05	7.07839320474e-05	0	0	1.01119902924857e-05	1.415678640948e-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella
Cloacibacillus	0	7.07839320474e-05	0	0	5.05599514624286e-06	0	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus
Enterococcus	0	0	0	1.061758980711e-05	0	5.662714563801e-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus
Succinivibrio	0	3.53919660237e-05	0	1.769598301185e-05	0	4.247035922844e-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio
Dehalobacterium	3.53919660237e-05	0	1.01119902924857e-05	3.53919660237e-06	0	1.061758980711e-05	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium
Corynebacterium	0	3.53919660237e-05	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium
Rothia	0	3.53919660237e-05	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia
Eggerthella	0	0	3.03359708774571e-05	7.07839320474e-06	1.01119902924857e-05	3.185276942131e-05	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella
Brochothrix	0	0	2.02239805849714e-05	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Brochothrix
Jeotgalicoccus	0	0	1.01119902924857e-05	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus
Mucispirillum	0	0	0	7.07839320474e-06	0	0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
Bacillus	0	0	0	0	0	7.07839320474e-06	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Flexispira	0	0	0	7.07839320474e-06	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Flexispira
Carnobacterium	0	0	5.05599514624286e-06	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium
Vagococcus	0	0	5.05599514624286e-06	3.53919660237e-06	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus
Clostridium2	0	0	5.05599514624286e-06	0	5.05599514624286e-06	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium2
PSB-M-3	0	0	0	0	5.05599514624286e-06	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__PSB-M-3
Helicobacter	0	0	0	0	5.05599514624286e-06	3.53919660237e-06	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter
Acinetobacter	0	0	5.05599514624286e-06	0	5.05599514624286e-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
Kurthia	0	0	0	3.53919660237e-06	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia
Staphylococcus	0	0	0	3.53919660237e-06	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus
Enhydrobacter	0	0	0	3.53919660237e-06	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter
Other	0.198265793664671	0.166943903733988	0.102773213337778	0.140304370907876	0.230017443183454	0.135597239426792	Other
